"","controller","condition","item","rt","NA","subject","group"
"27","DashedSentence","Unambiguous",2,11162,"FALSE","Native 1","Native"
"43","DashedSentence","Unambiguous",10,8282,"FALSE","Native 1","Native"
"75","DashedSentence","Unambiguous",12,8834,"FALSE","Native 1","Native"
"83","DashedSentence","Unambiguous",8,7947,"FALSE","Native 1","Native"
"91","DashedSentence","Unambiguous",4,4970,"FALSE","Native 1","Native"
"131","DashedSentence","Ambiguous",1,6700,"FALSE","Native 1","Native"
"147","DashedSentence","Ambiguous",3,6283,"FALSE","Native 1","Native"
"151","DashedSentence","Ambiguous",9,10319,"FALSE","Native 1","Native"
"159","DashedSentence","Unambiguous",6,8673,"FALSE","Native 1","Native"
"163","DashedSentence","Ambiguous",5,5490,"FALSE","Native 1","Native"
"167","DashedSentence","Ambiguous",7,9233,"FALSE","Native 1","Native"
"183","DashedSentence","Ambiguous",11,7109,"FALSE","Native 1","Native"
"239","DashedSentence","Unambiguous",9,6350,"FALSE","Native 2","Native"
"251","DashedSentence","Unambiguous",7,15780,"FALSE","Native 2","Native"
"255","DashedSentence","Unambiguous",5,5454,"FALSE","Native 2","Native"
"299","DashedSentence","Ambiguous",8,17204,"FALSE","Native 2","Native"
"319","DashedSentence","Ambiguous",10,11076,"FALSE","Native 2","Native"
"331","DashedSentence","Unambiguous",1,4416,"FALSE","Native 2","Native"
"343","DashedSentence","Ambiguous",12,21169,"FALSE","Native 2","Native"
"367","DashedSentence","Ambiguous",2,9733,"FALSE","Native 2","Native"
"391","DashedSentence","Unambiguous",11,10411,"FALSE","Native 2","Native"
"395","DashedSentence","Ambiguous",6,5457,"FALSE","Native 2","Native"
"431","DashedSentence","Ambiguous",4,4379,"FALSE","Native 2","Native"
"447","DashedSentence","Unambiguous",3,4947,"FALSE","Native 2","Native"
"459","DashedSentence","Unambiguous",8,8336,"FALSE","Native 3","Native"
"471","DashedSentence","Ambiguous",3,11153,"FALSE","Native 3","Native"
"491","DashedSentence","Ambiguous",9,11700,"FALSE","Native 3","Native"
"519","DashedSentence","Unambiguous",12,13025,"FALSE","Native 3","Native"
"559","DashedSentence","Unambiguous",2,13429,"FALSE","Native 3","Native"
"571","DashedSentence","Ambiguous",1,7049,"FALSE","Native 3","Native"
"575","DashedSentence","Unambiguous",4,5013,"FALSE","Native 3","Native"
"591","DashedSentence","Unambiguous",6,5561,"FALSE","Native 3","Native"
"599","DashedSentence","Ambiguous",11,5840,"FALSE","Native 3","Native"
"615","DashedSentence","Unambiguous",10,10915,"FALSE","Native 3","Native"
"619","DashedSentence","Ambiguous",7,10429,"FALSE","Native 3","Native"
"667","DashedSentence","Ambiguous",5,5304,"FALSE","Native 3","Native"
"695","DashedSentence","Ambiguous",12,3181,"FALSE","Native 4","Native"
"715","DashedSentence","Ambiguous",10,4935,"FALSE","Native 4","Native"
"723","DashedSentence","Ambiguous",2,3981,"FALSE","Native 4","Native"
"743","DashedSentence","Ambiguous",4,3925,"FALSE","Native 4","Native"
"763","DashedSentence","Unambiguous",5,2904,"FALSE","Native 4","Native"
"767","DashedSentence","Unambiguous",11,2359,"FALSE","Native 4","Native"
"771","DashedSentence","Ambiguous",6,2790,"FALSE","Native 4","Native"
"803","DashedSentence","Unambiguous",7,2429,"FALSE","Native 4","Native"
"827","DashedSentence","Unambiguous",3,3693,"FALSE","Native 4","Native"
"843","DashedSentence","Unambiguous",9,3159,"FALSE","Native 4","Native"
"855","DashedSentence","Ambiguous",8,2076,"FALSE","Native 4","Native"
"879","DashedSentence","Unambiguous",1,2897,"FALSE","Native 4","Native"
"935","DashedSentence","Unambiguous",10,9984,"FALSE","Native 5","Native"
"967","DashedSentence","Ambiguous",1,5944,"FALSE","Native 5","Native"
"983","DashedSentence","Ambiguous",11,6499,"FALSE","Native 5","Native"
"991","DashedSentence","Ambiguous",9,8496,"FALSE","Native 5","Native"
"999","DashedSentence","Unambiguous",8,9292,"FALSE","Native 5","Native"
"1035","DashedSentence","Ambiguous",5,6077,"FALSE","Native 5","Native"
"1043","DashedSentence","Unambiguous",12,11541,"FALSE","Native 5","Native"
"1059","DashedSentence","Ambiguous",7,4706,"FALSE","Native 5","Native"
"1075","DashedSentence","Ambiguous",3,4886,"FALSE","Native 5","Native"
"1091","DashedSentence","Unambiguous",4,3628,"FALSE","Native 5","Native"
"1107","DashedSentence","Unambiguous",6,2483,"FALSE","Native 5","Native"
"1119","DashedSentence","Unambiguous",2,2136,"FALSE","Native 5","Native"
"1159","DashedSentence","Ambiguous",10,2149,"FALSE","Native 6","Native"
"1163","DashedSentence","Ambiguous",2,2226,"FALSE","Native 6","Native"
"1175","DashedSentence","Ambiguous",4,1543,"FALSE","Native 6","Native"
"1183","DashedSentence","Unambiguous",9,1629,"FALSE","Native 6","Native"
"1187","DashedSentence","Unambiguous",7,2073,"FALSE","Native 6","Native"
"1231","DashedSentence","Unambiguous",3,1618,"FALSE","Native 6","Native"
"1267","DashedSentence","Ambiguous",12,1199,"FALSE","Native 6","Native"
"1279","DashedSentence","Unambiguous",11,1575,"FALSE","Native 6","Native"
"1283","DashedSentence","Ambiguous",6,1938,"FALSE","Native 6","Native"
"1295","DashedSentence","Ambiguous",8,1345,"FALSE","Native 6","Native"
"1327","DashedSentence","Unambiguous",1,1609,"FALSE","Native 6","Native"
"1331","DashedSentence","Unambiguous",5,1094,"FALSE","Native 6","Native"
"1389","DashedSentence","Ambiguous",1,3295,"FALSE","Native 7","Native"
"1401","DashedSentence","Unambiguous",8,4838,"FALSE","Native 7","Native"
"1425","DashedSentence","Ambiguous",3,4409,"FALSE","Native 7","Native"
"1429","DashedSentence","Ambiguous",11,13580,"FALSE","Native 7","Native"
"1437","DashedSentence","Ambiguous",5,5512,"FALSE","Native 7","Native"
"1445","DashedSentence","Ambiguous",7,6634,"FALSE","Native 7","Native"
"1481","DashedSentence","Unambiguous",6,4682,"FALSE","Native 7","Native"
"1521","DashedSentence","Ambiguous",9,4526,"FALSE","Native 7","Native"
"1533","DashedSentence","Unambiguous",4,4812,"FALSE","Native 7","Native"
"1553","DashedSentence","Unambiguous",10,3286,"FALSE","Native 7","Native"
"1557","DashedSentence","Unambiguous",2,3256,"FALSE","Native 7","Native"
"1561","DashedSentence","Unambiguous",12,3360,"FALSE","Native 7","Native"
"1581","DashedSentence","Ambiguous",12,12216,"FALSE","Native 8","Native"
"1597","DashedSentence","Unambiguous",9,5999,"FALSE","Native 8","Native"
"1613","DashedSentence","Unambiguous",7,9816,"FALSE","Native 8","Native"
"1621","DashedSentence","Ambiguous",8,4540,"FALSE","Native 8","Native"
"1673","DashedSentence","Unambiguous",3,4058,"FALSE","Native 8","Native"
"1681","DashedSentence","Ambiguous",4,5881,"FALSE","Native 8","Native"
"1697","DashedSentence","Ambiguous",2,5070,"FALSE","Native 8","Native"
"1717","DashedSentence","Unambiguous",5,3473,"FALSE","Native 8","Native"
"1729","DashedSentence","Unambiguous",11,5177,"FALSE","Native 8","Native"
"1761","DashedSentence","Ambiguous",10,5607,"FALSE","Native 8","Native"
"1769","DashedSentence","Unambiguous",1,3586,"FALSE","Native 8","Native"
"1777","DashedSentence","Ambiguous",6,3393,"FALSE","Native 8","Native"
"1801","DashedSentence","Ambiguous",9,4598,"FALSE","Native 9","Native"
