"","controller","condition","item","accuracy","rt","subject","group"
"12","PictureAccept","Unambiguous",17,1,1476,"Native 1","Native"
"20","PictureAccept","Ambiguous",13,0,2984,"Native 1","Native"
"32","PictureAccept","Ambiguous",4,1,2039,"Native 1","Native"
"36","PictureAccept","Unambiguous",11,1,2446,"Native 1","Native"
"56","PictureAccept","Control",9,1,2067,"Native 1","Native"
"80","PictureAccept","Unambiguous",2,1,2503,"Native 1","Native"
"96","PictureAccept","Ambiguous",10,0,4702,"Native 1","Native"
"100","PictureAccept","Control",12,0,1898,"Native 1","Native"
"104","PictureAccept","Ambiguous",16,0,1578,"Native 1","Native"
"112","PictureAccept","Control",6,1,2013,"Native 1","Native"
"116","PictureAccept","Ambiguous",7,0,2354,"Native 1","Native"
"120","PictureAccept","Control",15,1,4161,"Native 1","Native"
"136","PictureAccept","Control",18,1,2036,"Native 1","Native"
"144","PictureAccept","Ambiguous",1,1,1425,"Native 1","Native"
"204","PictureAccept","Unambiguous",8,1,1786,"Native 1","Native"
"208","PictureAccept","Unambiguous",14,1,1961,"Native 1","Native"
"212","PictureAccept","Unambiguous",5,1,1362,"Native 1","Native"
"216","PictureAccept","Control",3,1,1266,"Native 1","Native"
"244","PictureAccept","Ambiguous",15,0,8773,"Native 2","Native"
"268","PictureAccept","Ambiguous",3,0,1875,"Native 2","Native"
"284","PictureAccept","Unambiguous",10,1,3389,"Native 2","Native"
"288","PictureAccept","Unambiguous",1,1,5060,"Native 2","Native"
"292","PictureAccept","Ambiguous",18,0,2659,"Native 2","Native"
"304","PictureAccept","Control",14,1,1651,"Native 2","Native"
"324","PictureAccept","Ambiguous",12,1,1932,"Native 2","Native"
"340","PictureAccept","Unambiguous",7,1,3006,"Native 2","Native"
"356","PictureAccept","Ambiguous",9,1,1648,"Native 2","Native"
"360","PictureAccept","Control",8,1,1254,"Native 2","Native"
"372","PictureAccept","Unambiguous",4,1,3202,"Native 2","Native"
"380","PictureAccept","Ambiguous",6,0,2345,"Native 2","Native"
"408","PictureAccept","Unambiguous",13,1,3022,"Native 2","Native"
"412","PictureAccept","Control",5,1,1321,"Native 2","Native"
"420","PictureAccept","Control",11,1,2655,"Native 2","Native"
"424","PictureAccept","Control",17,1,1780,"Native 2","Native"
"436","PictureAccept","Unambiguous",16,1,2808,"Native 2","Native"
"444","PictureAccept","Control",2,1,1745,"Native 2","Native"
"480","PictureAccept","Control",16,1,2533,"Native 3","Native"
"488","PictureAccept","Unambiguous",3,1,1881,"Native 3","Native"
"496","PictureAccept","Ambiguous",5,1,1501,"Native 3","Native"
"500","PictureAccept","Control",7,1,2910,"Native 3","Native"
"504","PictureAccept","Ambiguous",11,1,2324,"Native 3","Native"
"512","PictureAccept","Control",1,1,2614,"Native 3","Native"
"524","PictureAccept","Unambiguous",18,1,3751,"Native 3","Native"
"528","PictureAccept","Control",10,1,1889,"Native 3","Native"
"532","PictureAccept","Ambiguous",8,1,1994,"Native 3","Native"
"536","PictureAccept","Control",13,1,1772,"Native 3","Native"
"564","PictureAccept","Unambiguous",12,1,2430,"Native 3","Native"
"588","PictureAccept","Ambiguous",14,1,2168,"Native 3","Native"
"604","PictureAccept","Ambiguous",17,1,1839,"Native 3","Native"
"640","PictureAccept","Unambiguous",6,1,2399,"Native 3","Native"
"648","PictureAccept","Unambiguous",9,1,1440,"Native 3","Native"
"652","PictureAccept","Control",4,1,1565,"Native 3","Native"
"664","PictureAccept","Unambiguous",15,0,6644,"Native 3","Native"
"672","PictureAccept","Ambiguous",2,1,1723,"Native 3","Native"
"688","PictureAccept","Unambiguous",14,0,791,"Native 4","Native"
"692","PictureAccept","Control",6,0,958,"Native 4","Native"
"732","PictureAccept","Unambiguous",17,0,1430,"Native 4","Native"
"736","PictureAccept","Unambiguous",11,0,958,"Native 4","Native"
"740","PictureAccept","Control",15,1,2282,"Native 4","Native"
"752","PictureAccept","Unambiguous",2,1,843,"Native 4","Native"
"756","PictureAccept","Unambiguous",8,0,964,"Native 4","Native"
"780","PictureAccept","Unambiguous",5,0,992,"Native 4","Native"
"816","PictureAccept","Ambiguous",1,1,884,"Native 4","Native"
"824","PictureAccept","Ambiguous",4,1,1409,"Native 4","Native"
"832","PictureAccept","Control",12,1,1154,"Native 4","Native"
"836","PictureAccept","Ambiguous",10,0,1282,"Native 4","Native"
"860","PictureAccept","Ambiguous",7,0,1662,"Native 4","Native"
"868","PictureAccept","Control",18,1,1499,"Native 4","Native"
"884","PictureAccept","Ambiguous",13,0,943,"Native 4","Native"
"888","PictureAccept","Control",3,0,1409,"Native 4","Native"
"892","PictureAccept","Ambiguous",16,0,3044,"Native 4","Native"
"896","PictureAccept","Control",9,1,2333,"Native 4","Native"
"908","PictureAccept","Ambiguous",6,1,2046,"Native 5","Native"
"912","PictureAccept","Unambiguous",16,0,2744,"Native 5","Native"
"920","PictureAccept","Control",11,1,1152,"Native 5","Native"
"940","PictureAccept","Ambiguous",15,0,2656,"Native 5","Native"
"948","PictureAccept","Control",5,1,1151,"Native 5","Native"
"972","PictureAccept","Ambiguous",12,1,1143,"Native 5","Native"
"976","PictureAccept","Control",8,1,1094,"Native 5","Native"
"980","PictureAccept","Ambiguous",3,1,1908,"Native 5","Native"
"1004","PictureAccept","Control",14,1,2100,"Native 5","Native"
"1008","PictureAccept","Ambiguous",9,1,1112,"Native 5","Native"
"1012","PictureAccept","Control",2,1,6265,"Native 5","Native"
"1020","PictureAccept","Unambiguous",7,1,1205,"Native 5","Native"
"1024","PictureAccept","Ambiguous",18,1,1557,"Native 5","Native"
"1040","PictureAccept","Control",17,1,1130,"Native 5","Native"
"1080","PictureAccept","Unambiguous",1,1,2002,"Native 5","Native"
"1084","PictureAccept","Unambiguous",13,1,1360,"Native 5","Native"
"1112","PictureAccept","Unambiguous",4,1,1000,"Native 5","Native"
"1116","PictureAccept","Unambiguous",10,1,1114,"Native 5","Native"
"1132","PictureAccept","Ambiguous",11,0,1433,"Native 6","Native"
"1136","PictureAccept","Unambiguous",6,1,1203,"Native 6","Native"
"1152","PictureAccept","Control",4,0,1171,"Native 6","Native"
"1196","PictureAccept","Ambiguous",5,1,1390,"Native 6","Native"
"1200","PictureAccept","Unambiguous",9,1,1199,"Native 6","Native"
"1204","PictureAccept","Control",13,0,1124,"Native 6","Native"
"1212","PictureAccept","Control",7,1,1215,"Native 6","Native"
"1220","PictureAccept","Unambiguous",18,0,1278,"Native 6","Native"
"1224","PictureAccept","Control",10,1,1105,"Native 6","Native"
"1236","PictureAccept","Unambiguous",3,0,1201,"Native 6","Native"
"1244","PictureAccept","Unambiguous",12,0,993,"Native 6","Native"
"1252","PictureAccept","Ambiguous",17,1,946,"Native 6","Native"
"1256","PictureAccept","Unambiguous",15,0,1182,"Native 6","Native"
"1300","PictureAccept","Ambiguous",14,1,1006,"Native 6","Native"
"1308","PictureAccept","Control",1,1,1472,"Native 6","Native"
"1312","PictureAccept","Ambiguous",2,0,1161,"Native 6","Native"
"1320","PictureAccept","Control",16,1,978,"Native 6","Native"
"1340","PictureAccept","Ambiguous",8,1,1223,"Native 6","Native"
"1358","PictureAccept","Ambiguous",4,1,2590,"Native 7","Native"
"1362","PictureAccept","Ambiguous",16,1,1536,"Native 7","Native"
"1366","PictureAccept","Control",9,0,4461,"Native 7","Native"
"1398","PictureAccept","Control",6,1,2305,"Native 7","Native"
"1410","PictureAccept","Control",3,1,2169,"Native 7","Native"
"1414","PictureAccept","Ambiguous",13,0,3389,"Native 7","Native"
"1418","PictureAccept","Unambiguous",8,1,1240,"Native 7","Native"
"1422","PictureAccept","Ambiguous",7,1,1638,"Native 7","Native"
"1454","PictureAccept","Unambiguous",17,0,3839,"Native 7","Native"
"1466","PictureAccept","Control",15,1,8270,"Native 7","Native"
"1490","PictureAccept","Unambiguous",11,0,1554,"Native 7","Native"
"1498","PictureAccept","Unambiguous",2,1,1308,"Native 7","Native"
"1502","PictureAccept","Control",18,1,1053,"Native 7","Native"
"1510","PictureAccept","Ambiguous",1,1,3618,"Native 7","Native"
"1518","PictureAccept","Unambiguous",14,0,3862,"Native 7","Native"
"1530","PictureAccept","Ambiguous",10,1,1411,"Native 7","Native"
"1546","PictureAccept","Unambiguous",5,1,1115,"Native 7","Native"
"1550","PictureAccept","Control",12,1,1434,"Native 7","Native"
"1586","PictureAccept","Unambiguous",13,1,3778,"Native 8","Native"
"1590","PictureAccept","Control",17,0,3819,"Native 8","Native"
"1602","PictureAccept","Ambiguous",18,0,1573,"Native 8","Native"
"1606","PictureAccept","Unambiguous",16,0,2012,"Native 8","Native"
"1610","PictureAccept","Control",8,1,2854,"Native 8","Native"
"1618","PictureAccept","Unambiguous",1,1,3506,"Native 8","Native"
"1650","PictureAccept","Ambiguous",6,0,2566,"Native 8","Native"
"1654","PictureAccept","Unambiguous",7,1,2240,"Native 8","Native"
"1658","PictureAccept","Control",5,0,2727,"Native 8","Native"
"1678","PictureAccept","Unambiguous",4,0,3006,"Native 8","Native"
"1694","PictureAccept","Ambiguous",12,1,3070,"Native 8","Native"
"1706","PictureAccept","Ambiguous",15,0,4807,"Native 8","Native"
"1710","PictureAccept","Control",14,1,3147,"Native 8","Native"
"1734","PictureAccept","Control",11,1,2381,"Native 8","Native"
"1742","PictureAccept","Ambiguous",9,1,1444,"Native 8","Native"
