"","controller","condition","item","rt","NA","subject","group"
"11","DashedSentence","Unambiguous",17,5117,"FALSE","Native 1","Native"
"19","DashedSentence","Ambiguous",13,5683,"FALSE","Native 1","Native"
"31","DashedSentence","Ambiguous",4,5151,"FALSE","Native 1","Native"
"35","DashedSentence","Unambiguous",11,4266,"FALSE","Native 1","Native"
"55","DashedSentence","Control",9,6821,"FALSE","Native 1","Native"
"79","DashedSentence","Unambiguous",2,4944,"FALSE","Native 1","Native"
"95","DashedSentence","Ambiguous",10,6865,"FALSE","Native 1","Native"
"99","DashedSentence","Control",12,4295,"FALSE","Native 1","Native"
"103","DashedSentence","Ambiguous",16,9072,"FALSE","Native 1","Native"
"111","DashedSentence","Control",6,6298,"FALSE","Native 1","Native"
"115","DashedSentence","Ambiguous",7,7014,"FALSE","Native 1","Native"
"119","DashedSentence","Control",15,5107,"FALSE","Native 1","Native"
"135","DashedSentence","Control",18,5277,"FALSE","Native 1","Native"
"143","DashedSentence","Ambiguous",1,6370,"FALSE","Native 1","Native"
"203","DashedSentence","Unambiguous",8,7753,"FALSE","Native 1","Native"
"207","DashedSentence","Unambiguous",14,6398,"FALSE","Native 1","Native"
"211","DashedSentence","Unambiguous",5,5248,"FALSE","Native 1","Native"
"215","DashedSentence","Control",3,4793,"FALSE","Native 1","Native"
"243","DashedSentence","Ambiguous",15,4906,"FALSE","Native 2","Native"
"267","DashedSentence","Ambiguous",3,13039,"FALSE","Native 2","Native"
"283","DashedSentence","Unambiguous",10,7039,"FALSE","Native 2","Native"
"287","DashedSentence","Unambiguous",1,7125,"FALSE","Native 2","Native"
"291","DashedSentence","Ambiguous",18,12430,"FALSE","Native 2","Native"
"303","DashedSentence","Control",14,7247,"FALSE","Native 2","Native"
"323","DashedSentence","Ambiguous",12,3454,"FALSE","Native 2","Native"
"339","DashedSentence","Unambiguous",7,252,"FALSE","Native 2","Native"
"355","DashedSentence","Ambiguous",9,8189,"FALSE","Native 2","Native"
"359","DashedSentence","Control",8,3007,"FALSE","Native 2","Native"
"371","DashedSentence","Unambiguous",4,17615,"FALSE","Native 2","Native"
"379","DashedSentence","Ambiguous",6,4641,"FALSE","Native 2","Native"
"407","DashedSentence","Unambiguous",13,7225,"FALSE","Native 2","Native"
"411","DashedSentence","Control",5,5631,"FALSE","Native 2","Native"
"419","DashedSentence","Control",11,8142,"FALSE","Native 2","Native"
"423","DashedSentence","Control",17,9128,"FALSE","Native 2","Native"
"435","DashedSentence","Unambiguous",16,17071,"FALSE","Native 2","Native"
"443","DashedSentence","Control",2,4548,"FALSE","Native 2","Native"
"479","DashedSentence","Control",16,13003,"FALSE","Native 3","Native"
"487","DashedSentence","Unambiguous",3,8520,"FALSE","Native 3","Native"
"495","DashedSentence","Ambiguous",5,9396,"FALSE","Native 3","Native"
"499","DashedSentence","Control",7,7151,"FALSE","Native 3","Native"
"503","DashedSentence","Ambiguous",11,7273,"FALSE","Native 3","Native"
"511","DashedSentence","Control",1,6765,"FALSE","Native 3","Native"
"523","DashedSentence","Unambiguous",18,8586,"FALSE","Native 3","Native"
"527","DashedSentence","Control",10,9700,"FALSE","Native 3","Native"
"531","DashedSentence","Ambiguous",8,9086,"FALSE","Native 3","Native"
"535","DashedSentence","Control",13,11900,"FALSE","Native 3","Native"
"563","DashedSentence","Unambiguous",12,4546,"FALSE","Native 3","Native"
"587","DashedSentence","Ambiguous",14,7865,"FALSE","Native 3","Native"
