"","controller","condition","item","accuracy","rt","subject","group"
"52","PictureAccept","Unambiguous","10",1,1728,"Native 1","Native"
"64","PictureAccept","Unambiguous","22",1,2782,"Native 1","Native"
"72","PictureAccept","Ambiguous","5",0,2760,"Native 1","Native"
"88","PictureAccept","Ambiguous","21",1,3880,"Native 1","Native"
"124","PictureAccept","Ambiguous","17",0,1833,"Native 1","Native"
"128","PictureAccept","Ambiguous","1",1,2450,"Native 1","Native"
"172","PictureAccept","Unambiguous","6",1,1388,"Native 1","Native"
"176","PictureAccept","Unambiguous","14",1,2698,"Native 1","Native"
"188","PictureAccept","Unambiguous","18",1,1640,"Native 1","Native"
"196","PictureAccept","Ambiguous","13",1,2941,"Native 1","Native"
"220","PictureAccept","Ambiguous","9",1,1254,"Native 1","Native"
"224","PictureAccept","Unambiguous","2",1,1314,"Native 1","Native"
"236","PictureAccept","Ambiguous","24",1,4604,"Native 2","Native"
"276","PictureAccept","Unambiguous","9",1,5216,"Native 2","Native"
"296","PictureAccept","Ambiguous","16",1,1685,"Native 2","Native"
"312","PictureAccept","Unambiguous","21",1,3351,"Native 2","Native"
"328","PictureAccept","Ambiguous","4",1,2731,"Native 2","Native"
"352","PictureAccept","Ambiguous","12",1,2212,"Native 2","Native"
"376","PictureAccept","Ambiguous","8",1,3036,"Native 2","Native"
"384","PictureAccept","Unambiguous","1",1,2800,"Native 2","Native"
"400","PictureAccept","Ambiguous","20",1,1305,"Native 2","Native"
"404","PictureAccept","Unambiguous","13",1,1730,"Native 2","Native"
"416","PictureAccept","Unambiguous","17",0,4989,"Native 2","Native"
"440","PictureAccept","Unambiguous","5",1,1810,"Native 2","Native"
"468","PictureAccept","Unambiguous","12",1,3493,"Native 3","Native"
"476","PictureAccept","Ambiguous","11",1,2936,"Native 3","Native"
"484","PictureAccept","Unambiguous","8",1,1911,"Native 3","Native"
"552","PictureAccept","Ambiguous","23",1,2837,"Native 3","Native"
"568","PictureAccept","Ambiguous","3",0,2973,"Native 3","Native"
"580","PictureAccept","Unambiguous","24",1,1744,"Native 3","Native"
"584","PictureAccept","Ambiguous","7",1,4294,"Native 3","Native"
"596","PictureAccept","Unambiguous","16",1,1689,"Native 3","Native"
"608","PictureAccept","Unambiguous","4",1,2747,"Native 3","Native"
"628","PictureAccept","Unambiguous","20",1,1802,"Native 3","Native"
"644","PictureAccept","Ambiguous","19",1,3391,"Native 3","Native"
"656","PictureAccept","Ambiguous","15",1,2283,"Native 3","Native"
"704","PictureAccept","Unambiguous","23",0,612,"Native 4","Native"
"720","PictureAccept","Unambiguous","3",1,1028,"Native 4","Native"
"728","PictureAccept","Ambiguous","10",1,1595,"Native 4","Native"
"760","PictureAccept","Ambiguous","2",0,705,"Native 4","Native"
"776","PictureAccept","Unambiguous","11",0,914,"Native 4","Native"
"784","PictureAccept","Ambiguous","14",0,3462,"Native 4","Native"
"788","PictureAccept","Ambiguous","6",0,941,"Native 4","Native"
"796","PictureAccept","Unambiguous","19",0,799,"Native 4","Native"
"812","PictureAccept","Ambiguous","18",0,2153,"Native 4","Native"
"840","PictureAccept","Ambiguous","22",0,1381,"Native 4","Native"
"852","PictureAccept","Unambiguous","7",0,1246,"Native 4","Native"
"864","PictureAccept","Unambiguous","15",0,1383,"Native 4","Native"
"916","PictureAccept","Unambiguous","14",1,2134,"Native 5","Native"
"932","PictureAccept","Unambiguous","22",1,2095,"Native 5","Native"
"964","PictureAccept","Ambiguous","13",1,1146,"Native 5","Native"
"988","PictureAccept","Ambiguous","9",1,1603,"Native 5","Native"
"996","PictureAccept","Unambiguous","2",1,1843,"Native 5","Native"
"1028","PictureAccept","Ambiguous","5",1,1408,"Native 5","Native"
"1048","PictureAccept","Ambiguous","1",1,2243,"Native 5","Native"
"1052","PictureAccept","Unambiguous","6",1,1493,"Native 5","Native"
"1056","PictureAccept","Unambiguous","18",1,811,"Native 5","Native"
"1064","PictureAccept","Ambiguous","17",0,2511,"Native 5","Native"
"1088","PictureAccept","Unambiguous","10",1,1076,"Native 5","Native"
"1104","PictureAccept","Ambiguous","21",0,1756,"Native 5","Native"
"1148","PictureAccept","Unambiguous","5",1,1291,"Native 6","Native"
"1156","PictureAccept","Ambiguous","16",1,1393,"Native 6","Native"
"1180","PictureAccept","Ambiguous","24",1,1734,"Native 6","Native"
"1240","PictureAccept","Unambiguous","13",0,1444,"Native 6","Native"
"1260","PictureAccept","Ambiguous","4",1,1293,"Native 6","Native"
"1276","PictureAccept","Unambiguous","1",0,1278,"Native 6","Native"
"1292","PictureAccept","Unambiguous","9",0,1498,"Native 6","Native"
"1304","PictureAccept","Ambiguous","20",0,1161,"Native 6","Native"
"1316","PictureAccept","Ambiguous","8",0,1318,"Native 6","Native"
"1324","PictureAccept","Unambiguous","21",1,1327,"Native 6","Native"
"1336","PictureAccept","Ambiguous","12",0,926,"Native 6","Native"
"1344","PictureAccept","Unambiguous","17",0,1027,"Native 6","Native"
"1354","PictureAccept","Ambiguous","3",1,6526,"Native 7","Native"
"1370","PictureAccept","Ambiguous","23",0,1792,"Native 7","Native"
"1378","PictureAccept","Ambiguous","7",0,5956,"Native 7","Native"
"1382","PictureAccept","Unambiguous","8",1,2185,"Native 7","Native"
"1386","PictureAccept","Unambiguous","20",1,1432,"Native 7","Native"
"1434","PictureAccept","Unambiguous","4",1,1111,"Native 7","Native"
"1450","PictureAccept","Ambiguous","19",1,1578,"Native 7","Native"
"1462","PictureAccept","Unambiguous","12",0,5233,"Native 7","Native"
"1494","PictureAccept","Ambiguous","11",0,1153,"Native 7","Native"
"1506","PictureAccept","Unambiguous","24",1,1325,"Native 7","Native"
"1514","PictureAccept","Ambiguous","15",1,1083,"Native 7","Native"
"1542","PictureAccept","Unambiguous","16",1,1743,"Native 7","Native"
"1594","PictureAccept","Ambiguous","18",1,2745,"Native 8","Native"
"1638","PictureAccept","Unambiguous","19",1,3037,"Native 8","Native"
"1646","PictureAccept","Ambiguous","14",0,4527,"Native 8","Native"
"1662","PictureAccept","Ambiguous","10",1,3588,"Native 8","Native"
"1666","PictureAccept","Ambiguous","2",1,4105,"Native 8","Native"
"1670","PictureAccept","Unambiguous","7",1,7118,"Native 8","Native"
"1714","PictureAccept","Unambiguous","11",1,5822,"Native 8","Native"
"1722","PictureAccept","Ambiguous","22",0,2119,"Native 8","Native"
"1726","PictureAccept","Unambiguous","15",1,2327,"Native 8","Native"
"1738","PictureAccept","Unambiguous","3",0,4210,"Native 8","Native"
"1782","PictureAccept","Unambiguous","23",1,3050,"Native 8","Native"
"1786","PictureAccept","Ambiguous","6",1,1693,"Native 8","Native"
"1818","PictureAccept","Ambiguous","5",1,2816,"Native 9","Native"
"1870","PictureAccept","Unambiguous","10",1,2320,"Native 9","Native"
"1882","PictureAccept","Unambiguous","14",1,2367,"Native 9","Native"
"1886","PictureAccept","Unambiguous","18",1,1185,"Native 9","Native"
"1902","PictureAccept","Ambiguous","13",1,1159,"Native 9","Native"
"1910","PictureAccept","Ambiguous","21",1,1696,"Native 9","Native"
"1922","PictureAccept","Ambiguous","9",1,1706,"Native 9","Native"
"1938","PictureAccept","Unambiguous","6",1,998,"Native 9","Native"
"1946","PictureAccept","Unambiguous","22",1,1722,"Native 9","Native"
"1974","PictureAccept","Unambiguous","2",1,810,"Native 9","Native"
"1982","PictureAccept","Ambiguous","17",1,911,"Native 9","Native"
"2002","PictureAccept","Ambiguous","1",1,1081,"Native 9","Native"
"2044","PictureAccept","Unambiguous","9",1,2747,"Native 10","Native"
"2056","PictureAccept","Ambiguous","4",1,4500,"Native 10","Native"
"2064","PictureAccept","Ambiguous","8",1,5019,"Native 10","Native"
"2068","PictureAccept","Unambiguous","5",0,6660,"Native 10","Native"
"2080","PictureAccept","Unambiguous","1",1,2355,"Native 10","Native"
"2100","PictureAccept","Unambiguous","21",1,2494,"Native 10","Native"
"2116","PictureAccept","Ambiguous","16",1,2409,"Native 10","Native"
"2132","PictureAccept","Ambiguous","12",1,2393,"Native 10","Native"
"2144","PictureAccept","Unambiguous","17",1,7916,"Native 10","Native"
"2156","PictureAccept","Unambiguous","13",1,2301,"Native 10","Native"
"2204","PictureAccept","Ambiguous","24",1,2133,"Native 10","Native"
"2240","PictureAccept","Ambiguous","20",1,2401,"Native 10","Native"
"2260","PictureAccept","Ambiguous","3",0,8480,"Native 11","Native"
"2268","PictureAccept","Unambiguous","20",1,4355,"Native 11","Native"
"2304","PictureAccept","Unambiguous","24",1,2056,"Native 11","Native"
"2324","PictureAccept","Ambiguous","7",1,4422,"Native 11","Native"
"2328","PictureAccept","Ambiguous","11",1,2815,"Native 11","Native"
"2352","PictureAccept","Ambiguous","23",1,5838,"Native 11","Native"
"2364","PictureAccept","Unambiguous","4",1,1988,"Native 11","Native"
"2392","PictureAccept","Unambiguous","16",1,1596,"Native 11","Native"
"2400","PictureAccept","Ambiguous","15",1,1493,"Native 11","Native"
"2420","PictureAccept","Ambiguous","19",1,4272,"Native 11","Native"
"2432","PictureAccept","Unambiguous","8",1,3093,"Native 11","Native"
"2464","PictureAccept","Unambiguous","12",1,2140,"Native 11","Native"
"2476","PictureAccept","Ambiguous","6",1,2792,"Native 12","Native"
"2508","PictureAccept","Unambiguous","15",1,2432,"Native 12","Native"
"2520","PictureAccept","Unambiguous","7",0,3111,"Native 12","Native"
"2540","PictureAccept","Ambiguous","14",1,3760,"Native 12","Native"
"2556","PictureAccept","Ambiguous","18",1,2115,"Native 12","Native"
"2564","PictureAccept","Ambiguous","2",1,1914,"Native 12","Native"
"2596","PictureAccept","Unambiguous","23",1,1512,"Native 12","Native"
"2616","PictureAccept","Unambiguous","3",0,2044,"Native 12","Native"
"2628","PictureAccept","Unambiguous","11",1,1443,"Native 12","Native"
"2636","PictureAccept","Ambiguous","10",1,2400,"Native 12","Native"
"2656","PictureAccept","Ambiguous","22",0,1492,"Native 12","Native"
"2668","PictureAccept","Unambiguous","19",1,1968,"Native 12","Native"
"2702","PictureAccept","Ambiguous","17",0,2146,"Native 13","Native"
"2722","PictureAccept","Ambiguous","5",0,2279,"Native 13","Native"
"2734","PictureAccept","Unambiguous","22",0,3468,"Native 13","Native"
"2750","PictureAccept","Ambiguous","9",1,2577,"Native 13","Native"
"2798","PictureAccept","Ambiguous","21",0,1168,"Native 13","Native"
"2802","PictureAccept","Unambiguous","14",1,6178,"Native 13","Native"
"2806","PictureAccept","Unambiguous","18",1,2406,"Native 13","Native"
