"","controller","condition","item","rt","NA","subject","group"
"15","DashedSentence","Ambiguous","3",4010,"FALSE","Native 1","Native"
"23","DashedSentence","Ambiguous","19",8044,"FALSE","Native 1","Native"
"39","DashedSentence","Unambiguous","20",3575,"FALSE","Native 1","Native"
"47","DashedSentence","Unambiguous","12",5142,"FALSE","Native 1","Native"
"51","DashedSentence","Unambiguous","10",3670,"FALSE","Native 1","Native"
"59","DashedSentence","Ambiguous","23",8605,"FALSE","Native 1","Native"
"63","DashedSentence","Unambiguous","22",4219,"FALSE","Native 1","Native"
"67","DashedSentence","Unambiguous","8",4068,"FALSE","Native 1","Native"
"71","DashedSentence","Ambiguous","5",6298,"FALSE","Native 1","Native"
"87","DashedSentence","Ambiguous","21",8123,"FALSE","Native 1","Native"
"107","DashedSentence","Ambiguous","7",7897,"FALSE","Native 1","Native"
"123","DashedSentence","Ambiguous","17",6846,"FALSE","Native 1","Native"
"127","DashedSentence","Ambiguous","1",5631,"FALSE","Native 1","Native"
"139","DashedSentence","Ambiguous","11",10607,"FALSE","Native 1","Native"
"155","DashedSentence","Unambiguous","4",6156,"FALSE","Native 1","Native"
"171","DashedSentence","Unambiguous","6",4153,"FALSE","Native 1","Native"
"175","DashedSentence","Unambiguous","14",6799,"FALSE","Native 1","Native"
"179","DashedSentence","Ambiguous","15",6571,"FALSE","Native 1","Native"
"187","DashedSentence","Unambiguous","18",3597,"FALSE","Native 1","Native"
"191","DashedSentence","Unambiguous","16",4939,"FALSE","Native 1","Native"
"195","DashedSentence","Ambiguous","13",3375,"FALSE","Native 1","Native"
"199","DashedSentence","Unambiguous","24",3289,"FALSE","Native 1","Native"
"219","DashedSentence","Ambiguous","9",5404,"FALSE","Native 1","Native"
"223","DashedSentence","Unambiguous","2",2768,"FALSE","Native 1","Native"
"235","DashedSentence","Ambiguous","24",8092,"FALSE","Native 2","Native"
"247","DashedSentence","Ambiguous","22",6060,"FALSE","Native 2","Native"
"259","DashedSentence","Ambiguous","6",3592,"FALSE","Native 2","Native"
"263","DashedSentence","Ambiguous","14",8316,"FALSE","Native 2","Native"
"271","DashedSentence","Ambiguous","18",7431,"FALSE","Native 2","Native"
"275","DashedSentence","Unambiguous","9",6460,"FALSE","Native 2","Native"
"279","DashedSentence","Ambiguous","10",5981,"FALSE","Native 2","Native"
"295","DashedSentence","Ambiguous","16",4878,"FALSE","Native 2","Native"
"307","DashedSentence","Unambiguous","15",3335,"FALSE","Native 2","Native"
"311","DashedSentence","Unambiguous","21",3803,"FALSE","Native 2","Native"
